delivery_id,po_id,delivery_date,delivered_qty,quality_status
98,79,2024-06-07,404,Partial
99,80,2025-06-27,466,Accepted
100,81,2025-02-25,248,Rejected
101,82,2025-05-06,43,Partial
102,83,2025-07-23,420,Accepted
103,84,2026-01-04,37,Accepted
104,85,2025-09-22,361,Accepted
105,86,2025-05-15,19,Accepted
106,86,2025-06-01,20,Accepted
107,87,2025-11-07,498,Partial
108,88,2025-01-24,420,Partial
109,89,2026-02-02,296,Rejected
110,90,2025-08-25,374,Accepted
111,91,2025-05-06,71,Rejected
112,91,2025-05-10,72,Accepted
113,92,2025-11-15,102,Accepted
114,92,2025-11-15,103,Accepted
115,93,2025-02-24,480,Rejected
116,94,2025-06-25,364,Accepted
117,95,2024-08-31,80,Accepted
118,96,2026-01-17,492,Accepted
119,97,2025-05-08,197,Accepted
120,98,2025-09-01,225,Accepted
121,98,2025-09-03,226,Accepted
122,99,2025-01-08,442,Accepted
123,100,2025-10-28,254,Accepted
124,101,2024-04-13,185,Accepted
125,102,2024-05-09,37,Accepted
126,103,2025-03-05,68,Accepted
127,104,2025-07-18,20,Accepted
128,105,2025-09-05,286,Accepted
129,106,2024-11-27,481,Accepted
130,107,2025-05-20,273,Partial
131,108,2025-02-14,159,Accepted
132,108,2025-03-06,159,Accepted
133,108,2025-02-24,161,Rejected
134,109,2025-12-18,405,Partial
135,110,2025-06-10,132,Accepted
136,111,2024-11-20,311,Accepted
137,112,2025-12-22,325,Accepted
138,113,2024-04-08,63,Rejected
139,113,2024-03-29,63,Partial
140,114,2026-01-16,342,Accepted
141,115,2024-05-19,243,Accepted
142,116,2024-08-17,17,Accepted
143,117,2025-09-21,87,Partial
144,118,2025-07-01,463,Partial
145,119,2026-01-10,91,Accepted
146,119,2025-12-29,91,Partial
147,120,2025-07-30,108,Partial
148,121,2025-05-14,329,Accepted
149,122,2024-10-02,26,Accepted
150,122,2024-10-12,27,Partial
151,123,2024-02-13,337,Accepted
152,124,2024-04-25,80,Accepted
153,125,2024-08-13,182,Accepted
154,126,2024-02-16,142,Accepted
155,127,2025-02-16,457,Partial
156,128,2025-08-19,401,Accepted
157,129,2026-01-08,177,Accepted
158,130,2025-01-28,418,Accepted
159,131,2025-10-18,128,Partial
160,132,2026-02-09,207,Rejected
161,132,2026-02-04,207,Accepted
162,133,2025-10-31,441,Rejected
163,134,2025-01-13,21,Rejected
164,134,2025-01-29,21,Partial
165,135,2024-09-25,42,Rejected
166,136,2026-01-06,256,Accepted
167,137,2024-08-05,457,Partial
168,138,2024-11-13,390,Accepted
169,139,2024-03-18,310,Accepted
170,140,2025-09-03,60,Rejected
171,140,2025-09-04,61,Accepted
172,141,2025-05-23,42,Rejected
173,142,2024-03-13,98,Accepted
174,142,2024-03-10,98,Accepted
175,142,2024-03-25,99,Partial
176,143,2024-07-27,46,Accepted
177,143,2024-08-02,47,Rejected
178,144,2025-03-12,39,Accepted
179,145,2025-03-25,276,Partial
180,146,2025-09-13,271,Accepted
181,147,2024-07-23,239,Accepted
182,148,2025-12-05,402,Accepted
183,149,2025-01-12,481,Accepted
184,150,2025-09-29,230,Accepted
185,151,2024-08-05,211,Accepted
186,152,2024-02-27,88,Accepted
187,153,2024-03-18,106,Accepted
188,154,2024-11-12,98,Accepted
189,155,2025-12-12,157,Accepted
190,156,2024-02-22,114,Accepted
191,156,2024-02-27,114,Accepted
192,157,2024-09-29,473,Accepted
193,158,2024-04-29,442,Accepted
194,159,2025-12-26,95,Accepted
195,159,2025-12-20,95,Partial
196,159,2025-12-14,97,Partial
197,160,2025-06-03,82,Accepted
198,160,2025-06-25,82,Accepted
199,161,2025-07-17,279,Accepted
200,162,2025-07-03,200,Accepted
201,162,2025-06-26,201,Accepted
202,163,2025-06-07,61,Rejected
203,163,2025-06-06,61,Rejected
204,163,2025-05-25,61,Accepted
205,164,2025-08-17,243,Partial
206,165,2024-02-10,116,Rejected
207,166,2025-10-27,468,Accepted
208,167,2025-07-16,307,Partial
209,168,2025-07-23,426,Partial
210,169,2024-12-04,14,Accepted
211,170,2025-09-08,64,Accepted
212,170,2025-09-05,65,Partial
213,171,2024-10-31,32,Partial
214,172,2024-02-12,243,Accepted
215,173,2025-11-01,231,Partial
216,173,2025-11-25,231,Accepted
217,174,2024-07-31,478,Accepted
218,175,2024-04-11,58,Accepted
219,175,2024-03-31,59,Accepted
220,176,2025-04-24,138,Accepted
221,176,2025-05-03,138,Accepted
222,176,2025-04-17,138,Rejected
223,177,2024-07-16,142,Rejected
224,178,2025-10-15,225,Rejected
225,179,2024-12-27,123,Accepted
226,180,2024-01-24,48,Accepted
227,180,2024-02-02,48,Accepted
228,180,2024-02-07,49,Accepted
229,181,2025-12-15,470,Accepted
230,182,2025-02-20,130,Rejected
231,182,2025-02-19,130,Partial
232,182,2025-02-12,131,Rejected
233,183,2024-08-19,71,Partial
234,183,2024-08-05,71,Accepted
235,183,2024-08-26,71,Accepted
236,184,2025-06-28,119,Partial
237,185,2025-02-21,132,Accepted
238,186,2024-02-22,68,Accepted
239,186,2024-02-21,68,Partial
240,186,2024-02-28,70,Accepted
241,187,2025-07-16,164,Rejected
242,188,2024-11-06,21,Accepted
243,189,2025-06-16,442,Accepted
244,190,2025-11-30,26,Rejected
245,190,2025-11-27,27,Accepted
246,191,2025-04-12,70,Accepted
247,192,2025-06-10,195,Partial
248,193,2024-08-17,202,Rejected
249,194,2024-07-08,340,Accepted
250,195,2024-12-11,26,Accepted
251,196,2025-10-08,53,Partial
252,197,2025-03-08,105,Partial
253,197,2025-02-26,106,Accepted
254,198,2024-10-17,111,Accepted
255,199,2025-08-17,371,Accepted
256,200,2025-09-25,493,Accepted
257,201,2025-11-18,374,Accepted
258,202,2024-09-28,465,Partial
259,203,2025-07-10,106,Accepted
260,204,2025-04-12,457,Partial
261,205,2025-01-03,65,Accepted
262,206,2024-10-27,291,Rejected
263,207,2024-04-04,138,Accepted
264,208,2024-08-23,357,Accepted
265,209,2025-03-04,374,Accepted
266,210,2025-11-09,126,Accepted
267,210,2025-10-28,127,Accepted
268,211,2025-10-23,397,Partial
269,212,2024-06-20,34,Accepted
270,213,2025-06-18,378,Rejected
271,214,2024-03-26,375,Accepted
272,215,2025-05-21,172,Accepted
273,216,2024-10-18,383,Partial
274,217,2025-01-24,92,Accepted
275,218,2025-07-01,124,Accepted
276,218,2025-07-10,124,Accepted
277,218,2025-07-21,125,Accepted
278,219,2024-11-30,26,Partial
279,219,2024-12-09,26,Accepted
280,219,2024-12-16,27,Partial
281,220,2025-09-30,195,Accepted
282,221,2025-02-23,83,Partial
283,222,2026-01-28,292,Partial
284,223,2025-05-13,229,Partial
285,224,2024-09-15,343,Accepted
286,225,2025-08-31,22,Partial
287,226,2024-11-25,28,Partial
288,226,2024-11-12,28,Rejected
289,226,2024-11-14,28,Partial
290,227,2025-02-18,25,Rejected
291,227,2025-02-20,25,Rejected
292,227,2025-03-08,27,Partial
293,228,2024-05-24,210,Rejected
294,229,2024-04-01,270,Accepted
295,230,2025-04-06,7,Accepted
296,230,2025-04-20,8,Accepted
297,231,2024-06-28,140,Accepted
298,232,2026-02-03,411,Partial
299,233,2025-10-14,401,Accepted
300,234,2025-07-06,100,Partial
301,234,2025-07-10,101,Accepted
302,235,2025-07-20,104,Accepted
303,235,2025-08-01,104,Rejected
304,235,2025-07-19,105,Rejected
305,236,2025-04-04,480,Accepted
306,237,2024-03-31,326,Accepted
307,238,2024-10-24,194,Rejected
308,239,2025-01-11,88,Accepted
309,240,2025-12-10,119,Accepted
310,241,2024-07-12,144,Accepted
311,242,2025-02-10,71,Accepted
312,243,2024-09-21,363,Partial
313,244,2024-05-16,28,Partial
314,245,2024-04-06,41,Accepted
315,246,2024-11-07,82,Accepted
316,247,2024-04-05,61,Accepted
317,247,2024-03-29,61,Rejected
318,247,2024-04-03,61,Accepted
319,248,2024-03-01,30,Rejected
320,249,2024-10-15,491,Accepted
321,250,2024-06-28,41,Accepted
322,251,2025-03-27,306,Rejected
323,252,2024-02-09,246,Accepted
324,252,2024-03-02,246,Partial
325,253,2024-09-05,4,Accepted
326,253,2024-09-09,4,Rejected
327,254,2024-12-30,207,Accepted
328,254,2025-01-04,207,Rejected
329,255,2026-01-06,81,Partial
330,256,2025-04-20,307,Accepted
331,257,2025-11-14,200,Accepted
332,258,2024-10-16,233,Accepted
333,258,2024-10-18,233,Accepted
334,259,2025-01-11,328,Accepted
335,260,2024-11-28,113,Accepted
336,261,2025-12-04,397,Rejected
337,262,2026-01-05,183,Accepted
338,263,2025-12-30,274,Accepted
339,264,2025-08-02,396,Accepted
340,265,2025-01-18,246,Rejected
341,266,2025-02-21,58,Rejected
342,267,2025-12-28,42,Accepted
343,267,2026-01-10,42,Partial
344,267,2026-01-25,44,Accepted
345,268,2024-09-05,277,Rejected
346,269,2024-10-17,179,Partial
347,270,2025-11-29,260,Accepted
348,271,2024-10-14,72,Partial
349,271,2024-10-18,73,Partial
350,272,2024-07-13,31,Rejected
351,273,2025-03-08,243,Accepted
352,274,2024-10-08,178,Accepted
353,275,2025-10-31,324,Accepted
354,276,2025-11-18,202,Partial
355,277,2024-09-08,26,Accepted
356,278,2025-03-02,24,Accepted
357,279,2026-01-22,182,Accepted
358,280,2025-07-04,483,Accepted
359,281,2024-07-01,7,Partial
360,281,2024-06-26,7,Accepted
361,281,2024-07-06,8,Partial
362,282,2025-04-26,51,Accepted
363,283,2025-05-06,303,Partial
364,284,2025-05-28,395,Accepted
365,285,2024-03-09,59,Accepted
366,286,2024-09-28,178,Accepted
367,286,2024-09-14,178,Rejected
368,287,2025-10-11,27,Rejected
369,287,2025-10-28,28,Accepted
370,288,2024-07-29,72,Accepted
371,288,2024-07-21,72,Rejected
372,289,2024-08-31,267,Accepted
373,290,2024-09-08,373,Accepted
374,291,2024-06-02,115,Accepted
375,291,2024-06-13,116,Accepted
376,292,2024-06-17,171,Accepted
377,293,2024-10-04,171,Accepted
378,294,2025-10-28,286,Accepted
379,295,2024-01-31,296,Partial
380,296,2024-08-31,171,Rejected
381,297,2024-03-29,27,Rejected
382,298,2025-04-07,217,Accepted
383,299,2024-08-07,477,Rejected
384,300,2025-08-29,131,Rejected
385,300,2025-08-28,132,Accepted
386,301,2025-04-18,266,Accepted
387,302,2025-08-21,487,Partial
388,303,2025-04-23,367,Rejected
389,304,2024-12-08,268,Partial
390,305,2025-10-30,408,Accepted
391,306,2024-12-31,396,Accepted
392,307,2026-01-06,156,Partial
393,308,2026-01-20,41,Accepted
394,309,2025-04-03,69,Accepted
395,309,2025-03-31,69,Accepted
396,309,2025-03-27,69,Partial
397,310,2025-06-27,349,Rejected
398,311,2024-08-27,229,Accepted
399,312,2025-09-21,75,Partial
400,312,2025-09-12,75,Partial
401,312,2025-09-20,77,Rejected
402,313,2025-06-20,32,Partial
403,313,2025-06-22,32,Accepted
404,313,2025-06-11,32,Accepted
405,314,2025-11-08,20,Partial
406,315,2024-08-19,28,Accepted
407,316,2025-08-15,495,Partial
408,317,2024-12-31,29,Partial
409,318,2024-06-22,75,Partial
410,318,2024-06-26,76,Accepted
411,319,2024-05-23,157,Accepted
412,320,2025-03-19,398,Partial
413,321,2024-10-01,323,Accepted
414,322,2024-04-10,226,Rejected
415,323,2024-12-21,77,Accepted
416,324,2025-05-29,127,Accepted
417,324,2025-05-29,127,Partial
418,325,2024-10-08,190,Rejected
419,326,2026-01-05,176,Rejected
420,327,2025-08-23,10,Accepted
421,328,2025-02-08,220,Accepted
422,329,2025-12-13,356,Partial
423,330,2024-12-27,190,Partial
424,330,2024-12-23,190,Rejected
425,331,2024-05-21,385,Accepted
426,332,2024-02-26,196,Accepted
427,333,2025-12-06,68,Accepted
428,333,2025-11-25,69,Accepted
429,334,2025-12-18,242,Accepted
430,335,2025-07-04,179,Accepted
431,335,2025-07-28,180,Rejected
432,336,2024-04-20,276,Accepted
433,337,2024-08-29,216,Accepted
434,338,2024-03-11,216,Rejected
435,338,2024-02-24,217,Accepted
436,339,2024-03-04,153,Accepted
437,340,2024-07-22,315,Accepted
438,341,2025-04-19,100,Partial
439,342,2024-03-05,123,Partial
440,342,2024-03-05,123,Accepted
441,343,2026-02-13,78,Accepted
442,344,2025-01-04,26,Partial
443,344,2025-01-02,26,Accepted
444,344,2025-01-09,26,Partial
445,345,2024-08-19,316,Accepted
446,346,2025-03-09,378,Accepted
447,347,2025-08-25,76,Accepted
448,347,2025-08-21,77,Partial
449,348,2024-09-14,138,Accepted
450,349,2024-03-28,162,Rejected
451,350,2024-02-25,255,Accepted
452,351,2025-10-05,80,Accepted
453,352,2024-04-12,263,Partial
454,353,2025-05-19,189,Accepted
455,354,2024-11-07,130,Partial
456,355,2025-08-23,142,Accepted
457,355,2025-08-15,142,Accepted
458,356,2024-02-26,54,Accepted
459,356,2024-03-12,55,Accepted
460,357,2025-11-22,241,Rejected
461,358,2025-06-24,404,Accepted
462,359,2024-12-30,332,Rejected
463,360,2024-06-24,126,Rejected
464,361,2026-01-28,112,Accepted
465,362,2024-09-05,43,Accepted
466,362,2024-09-22,44,Accepted
467,363,2025-01-11,38,Partial
468,363,2025-01-18,38,Rejected
469,363,2025-01-22,38,Accepted
470,364,2024-11-13,215,Accepted
471,365,2024-08-01,186,Accepted
472,366,2024-12-18,397,Partial
473,367,2024-05-11,146,Rejected
474,367,2024-05-22,146,Accepted
475,367,2024-06-01,147,Accepted
476,368,2024-02-23,248,Partial
477,369,2024-09-26,306,Accepted
478,370,2024-04-30,55,Accepted
479,371,2024-11-23,156,Accepted
480,372,2025-10-02,129,Accepted
481,373,2024-05-19,333,Rejected
482,374,2024-02-22,435,Accepted
483,375,2024-05-18,449,Accepted
484,376,2025-02-18,125,Accepted
485,377,2024-08-18,363,Rejected
486,378,2025-02-05,357,Accepted
487,379,2024-02-22,166,Accepted
488,379,2024-03-08,167,Rejected
489,380,2024-09-21,242,Rejected
490,381,2024-11-17,118,Accepted
491,381,2024-12-02,118,Accepted
492,382,2024-11-29,64,Accepted
493,383,2025-02-26,430,Rejected
494,384,2025-08-14,57,Accepted
495,384,2025-09-02,57,Accepted
496,385,2025-01-13,125,Accepted
497,386,2025-09-27,131,Rejected
498,387,2025-02-01,334,Accepted
499,388,2024-08-19,131,Partial
500,388,2024-08-21,131,Partial
501,389,2024-07-22,48,Accepted
502,390,2024-10-03,103,Accepted
503,391,2025-03-30,480,Accepted
504,392,2024-07-25,173,Accepted
505,392,2024-07-16,173,Partial
506,393,2025-11-25,110,Accepted
507,393,2025-11-27,110,Rejected
508,393,2025-11-28,110,Partial
509,394,2025-01-07,74,Accepted
510,395,2025-10-28,19,Accepted
511,396,2025-07-05,67,Accepted
512,396,2025-07-10,68,Accepted
513,397,2024-10-01,40,Partial
514,398,2024-07-03,147,Accepted
515,399,2025-08-05,62,Accepted
516,400,2024-09-25,73,Partial
517,401,2024-07-27,217,Partial
518,402,2025-11-26,24,Partial
519,402,2025-11-27,24,Partial
520,403,2025-01-31,223,Partial
521,404,2024-02-25,307,Accepted
522,405,2025-01-25,125,Accepted
523,406,2025-01-13,201,Accepted
524,407,2025-10-01,224,Accepted
525,408,2025-06-15,148,Accepted
526,408,2025-06-14,148,Accepted
527,408,2025-07-01,148,Accepted
528,409,2024-06-04,146,Partial
529,410,2024-05-11,191,Partial
530,411,2025-05-18,324,Rejected
531,412,2024-02-13,409,Rejected
532,413,2024-09-09,127,Accepted
533,414,2024-05-20,416,Accepted
534,415,2024-02-11,262,Accepted
535,416,2025-11-19,28,Accepted
536,417,2024-03-18,370,Accepted
537,418,2024-01-29,337,Rejected
538,419,2026-01-07,87,Accepted
539,420,2024-06-22,140,Accepted
540,420,2024-06-06,140,Rejected
541,421,2025-09-07,333,Partial
542,422,2024-02-07,143,Accepted
543,423,2024-05-23,416,Accepted
544,424,2024-05-09,297,Accepted
545,425,2025-06-05,139,Accepted
546,426,2025-05-13,27,Accepted
547,426,2025-05-16,28,Accepted
548,427,2025-01-15,308,Accepted
549,428,2024-07-23,434,Partial
550,429,2024-04-08,472,Accepted
551,430,2025-04-12,75,Accepted
552,431,2024-07-24,268,Accepted
553,432,2025-04-01,54,Accepted
554,433,2025-05-24,80,Partial
555,434,2025-10-14,106,Partial
556,435,2025-01-18,346,Rejected
557,436,2024-01-31,294,Accepted
558,437,2024-08-26,37,Accepted
559,437,2024-08-20,38,Accepted
560,438,2025-11-02,275,Accepted
561,439,2025-02-12,64,Rejected
562,439,2025-03-03,64,Rejected
563,440,2025-04-18,49,Partial
564,440,2025-04-15,49,Rejected
565,441,2025-01-03,119,Accepted
566,442,2024-05-25,44,Accepted
567,442,2024-05-31,45,Accepted
568,443,2025-11-13,465,Partial
569,444,2025-08-12,408,Accepted
570,445,2026-02-26,104,Rejected
571,446,2025-09-30,236,Accepted
572,446,2025-10-14,237,Accepted
573,447,2024-09-07,100,Accepted
574,447,2024-09-27,100,Partial
575,448,2024-08-22,70,Rejected
576,449,2024-08-04,97,Accepted
577,449,2024-08-03,98,Accepted
578,450,2025-11-30,169,Accepted
579,450,2025-11-26,170,Accepted
580,451,2025-02-26,139,Rejected
581,452,2025-01-09,97,Accepted
582,453,2026-01-10,100,Accepted
583,454,2025-04-15,483,Partial
584,455,2025-11-21,68,Accepted
585,456,2026-02-07,442,Accepted
586,457,2024-03-18,499,Accepted
587,458,2024-10-30,291,Accepted
588,459,2025-07-23,153,Rejected
589,460,2025-08-23,248,Accepted
590,461,2024-06-07,192,Rejected
591,461,2024-05-22,192,Accepted
592,462,2024-08-29,84,Rejected
593,462,2024-09-13,84,Accepted
594,463,2025-03-27,112,Accepted
595,463,2025-04-02,113,Rejected
596,464,2025-09-11,454,Accepted
597,465,2024-04-28,458,Accepted
598,466,2025-04-29,387,Accepted
599,467,2024-09-06,183,Rejected
600,468,2024-08-06,139,Accepted
601,468,2024-07-20,139,Accepted
602,469,2025-02-15,84,Accepted
603,470,2024-12-15,322,Partial
604,471,2025-05-16,40,Accepted
605,471,2025-05-12,40,Accepted
606,472,2024-09-23,381,Partial
607,473,2025-10-12,20,Partial
608,474,2024-03-21,25,Partial
609,475,2025-11-04,132,Rejected
610,476,2024-02-21,9,Rejected
611,476,2024-03-13,10,Accepted
612,477,2025-07-11,111,Accepted
613,478,2024-10-10,204,Partial
614,479,2024-11-03,205,Partial
615,480,2024-02-01,497,Accepted
616,481,2025-06-11,309,Accepted
617,482,2024-05-15,365,Accepted
618,483,2025-05-30,460,Partial
619,484,2025-07-07,202,Accepted
620,484,2025-07-12,202,Accepted
621,485,2025-10-17,419,Accepted
622,486,2025-07-23,339,Rejected
623,487,2024-09-12,212,Accepted
624,487,2024-09-24,213,Accepted
625,488,2025-07-27,103,Accepted
626,489,2025-10-16,126,Rejected
627,490,2024-08-30,100,Accepted
628,491,2024-04-29,239,Partial
629,492,2025-11-14,117,Accepted
630,493,2024-05-27,155,Accepted
631,494,2025-04-16,204,Partial
632,495,2024-08-06,435,Rejected
633,496,2024-05-21,415,Accepted
634,497,2025-08-14,214,Accepted
635,497,2025-08-13,214,Accepted
636,498,2024-05-20,147,Partial
637,499,2025-06-23,341,Accepted
638,500,2025-07-10,232,Accepted
639,500,2025-07-08,232,Rejected
640,501,2024-03-11,130,Rejected
641,501,2024-03-07,130,Accepted
642,502,2024-05-31,253,Rejected
643,503,2025-09-02,122,Rejected
644,503,2025-09-03,122,Partial
645,504,2025-02-27,30,Accepted
646,505,2024-05-07,484,Rejected
647,506,2026-01-10,29,Rejected
648,507,2024-08-13,497,Accepted
649,508,2024-02-04,34,Partial
650,509,2025-12-03,31,Accepted
651,509,2025-11-26,31,Rejected
652,509,2025-12-15,33,Accepted
653,510,2024-01-25,359,Rejected
654,511,2025-02-18,100,Accepted
655,511,2025-02-22,101,Accepted
656,512,2026-02-01,22,Accepted
657,513,2025-03-23,11,Accepted
658,514,2025-04-21,204,Accepted
659,515,2024-11-03,410,Accepted
660,516,2024-05-09,421,Partial
661,517,2025-03-10,43,Accepted
662,518,2025-10-21,477,Rejected
663,519,2024-04-01,71,Partial
664,520,2025-11-23,496,Accepted
665,521,2024-12-11,99,Rejected
666,522,2025-03-14,127,Accepted
667,523,2024-06-12,317,Partial
668,524,2025-05-21,489,Accepted
669,525,2024-06-17,81,Accepted
670,526,2024-08-08,51,Accepted
671,527,2025-08-02,105,Partial
672,528,2024-02-25,156,Accepted
673,529,2024-12-17,158,Rejected
674,530,2025-04-07,69,Partial
675,531,2024-05-09,310,Accepted
676,532,2024-09-09,401,Rejected
677,533,2024-09-28,453,Accepted
678,534,2025-06-21,90,Accepted
679,535,2026-01-04,317,Accepted
680,536,2025-09-25,11,Rejected
681,537,2024-06-30,127,Rejected
682,538,2024-02-27,77,Accepted
683,539,2024-03-23,201,Accepted
684,539,2024-03-24,201,Accepted
685,540,2025-04-28,198,Rejected
686,541,2024-05-18,102,Accepted
687,542,2024-07-23,295,Rejected
688,543,2025-09-20,74,Accepted
689,544,2025-10-21,268,Rejected
690,545,2025-10-05,414,Accepted
691,546,2024-08-04,95,Accepted
692,547,2025-05-30,224,Accepted
693,547,2025-05-12,224,Rejected
694,548,2025-04-01,29,Accepted
695,549,2024-06-25,63,Accepted
696,549,2024-06-29,63,Partial
697,550,2025-04-07,160,Accepted
698,550,2025-04-05,161,Accepted
699,551,2025-02-23,51,Accepted
700,551,2025-03-09,51,Accepted
701,552,2024-11-29,425,Accepted
702,553,2025-07-08,71,Accepted
703,553,2025-07-24,71,Rejected
704,554,2025-06-01,429,Accepted
705,555,2025-02-28,312,Accepted
706,556,2025-08-10,50,Partial
707,556,2025-07-31,51,Accepted
708,557,2025-08-06,431,Accepted
709,558,2025-04-04,110,Accepted
710,558,2025-03-18,111,Rejected
711,559,2024-08-10,276,Accepted
712,560,2025-08-28,24,Accepted
713,561,2025-08-06,226,Rejected
714,562,2026-01-14,127,Accepted
715,562,2026-01-27,128,Accepted
716,563,2024-05-26,30,Accepted
717,563,2024-05-31,31,Rejected
718,564,2024-12-11,345,Rejected
719,565,2025-11-30,44,Partial
720,565,2025-11-17,44,Partial
721,565,2025-11-23,45,Accepted
722,566,2025-02-28,125,Partial
723,567,2025-12-25,387,Partial
724,568,2024-03-01,498,Partial
725,569,2024-03-09,333,Accepted
726,570,2025-09-21,292,Partial
727,571,2024-10-13,92,Accepted
728,571,2024-10-07,93,Rejected
729,572,2025-02-20,249,Accepted
730,573,2024-12-23,374,Accepted
731,574,2024-11-16,457,Accepted
732,575,2026-01-05,253,Accepted
733,576,2024-03-28,244,Accepted
734,576,2024-04-11,245,Accepted
735,577,2025-07-25,102,Accepted
736,577,2025-07-27,102,Partial
737,578,2025-11-22,189,Rejected
738,579,2025-06-12,27,Partial
739,579,2025-06-04,28,Partial
740,580,2024-12-05,363,Rejected
741,581,2024-06-01,279,Accepted
742,582,2025-07-08,131,Partial
743,582,2025-06-30,132,Accepted
744,583,2024-12-21,426,Partial
745,584,2024-04-26,229,Accepted
746,585,2024-10-02,214,Accepted
747,585,2024-10-04,214,Rejected
748,586,2025-12-30,139,Accepted
749,586,2025-12-30,139,Accepted
750,587,2024-08-08,143,Accepted
751,588,2024-06-14,161,Partial
752,589,2025-06-10,343,Rejected
753,590,2024-07-03,36,Accepted
754,591,2025-12-09,229,Rejected
755,591,2025-12-08,230,Rejected
756,592,2025-10-26,324,Accepted
757,593,2026-01-21,345,Accepted
758,594,2025-12-06,342,Accepted
759,595,2024-07-10,396,Partial
760,596,2024-07-04,243,Partial
761,597,2024-10-22,276,Accepted
762,598,2025-01-20,428,Partial
763,599,2025-11-16,63,Accepted
764,599,2025-11-10,63,Accepted
765,600,2025-07-21,177,Rejected
766,601,2025-05-04,255,Accepted
767,602,2025-11-09,236,Accepted
768,603,2025-05-26,41,Accepted
769,604,2024-11-04,27,Accepted
770,604,2024-10-26,27,Rejected
771,604,2024-10-24,28,Accepted
772,605,2024-12-11,388,Accepted
773,606,2025-02-05,389,Accepted
774,607,2024-04-21,125,Rejected
775,608,2025-07-09,180,Rejected
776,609,2025-05-30,195,Accepted
777,609,2025-05-31,196,Accepted
778,610,2025-07-17,113,Rejected
779,610,2025-07-19,114,Partial
780,611,2025-03-20,106,Rejected
781,612,2025-09-18,462,Rejected
782,613,2025-12-31,41,Accepted
783,614,2025-04-01,230,Accepted
