invoice_id,po_id,invoice_date,price_charged,invoice_amount,payment_date,payment_amount,installment_number
29,25,2025-08-07,934.22,132659.24,2025-10-01,132659.24,1
30,26,2025-03-20,32.73,572.78,2025-04-21,572.78,1
31,26,2025-04-02,32.73,572.78,2025-05-17,572.78,2
32,27,2025-11-08,146.94,56571.9,2025-11-26,56571.9,1
33,28,2024-11-12,333.61,46345.5,2024-12-24,46345.5,1
34,29,2026-01-02,144.59,13215.02,2026-02-28,13215.02,1
35,30,2025-11-12,29.78,4705.24,2025-12-27,4705.24,1
36,31,2024-10-12,267.52,52701.44,2024-11-14,52701.44,1
37,32,2025-02-05,688.43,5507.44,2025-04-06,5507.44,1
38,32,2025-02-21,688.43,5507.44,2025-04-16,5507.44,2
39,33,2025-03-07,48.21,3278.28,2025-04-05,3278.28,1
40,34,2025-08-19,5.74,964.32,2025-10-24,964.32,1
41,35,2025-06-17,43.49,15612.91,2025-08-18,15612.91,1
42,36,2025-10-03,7.24,1781.04,2025-10-28,1781.04,1
43,37,2024-11-10,55.82,18420.6,2024-11-29,18420.6,1
44,38,2025-02-15,27.77,5915.01,2025-03-04,5915.01,1
45,39,2024-12-02,5.82,2066.1,2025-02-04,2066.1,1
46,40,2025-11-19,330.26,98417.48,2025-12-06,98417.48,1
47,41,2024-09-28,121.15,53184.85,2024-10-23,53184.85,1
48,42,2025-04-10,126.87,34635.51,2025-05-15,34635.51,1
49,42,2025-04-11,126.87,34635.51,2025-05-11,34635.51,1
50,43,2024-04-30,321.24,107615.4,2024-06-29,107615.4,1
51,44,2025-10-04,452.29,90458.0,2025-10-15,90458.0,1
52,45,2024-11-10,285.07,43330.64,2024-11-27,43330.64,1
53,46,2024-10-31,85.46,34196.16,2025-01-13,34196.16,1
54,47,2025-05-01,76.57,30781.14,2025-06-12,30781.14,1
55,48,2025-02-13,35.81,13536.18,2025-03-31,13536.18,1
56,49,2025-10-31,43.01,19956.64,2025-12-21,19956.64,1
57,50,2025-02-03,320.91,8664.57,2025-04-04,8664.57,1
58,51,2025-03-08,33.95,11101.65,2025-05-03,11101.65,1
59,52,2024-05-06,11.66,1877.26,2024-06-12,1877.26,1
60,53,2024-02-16,303.21,32443.47,2024-03-17,32443.47,1
61,54,2024-11-18,58.9,6773.5,2024-12-23,6773.5,1
62,55,2026-02-19,129.52,2007.56,2026-02-23,2007.56,1
63,55,2026-03-10,129.52,2007.56,2026-04-12,2007.56,2
64,56,2025-12-17,108.85,12300.05,2026-02-23,12300.05,1
65,57,2025-05-07,24.03,4745.92,2025-06-21,4745.92,1
66,57,2025-05-19,24.03,4745.92,2025-07-12,4745.92,2
67,58,2025-06-07,11.92,4946.8,2025-07-24,4946.8,1
68,59,2024-11-04,37.88,5682.0,2024-11-29,5682.0,1
69,60,2024-06-20,1435.9,605949.8,2024-07-20,605949.8,1
70,61,2024-01-25,426.22,63308.34,2024-02-17,63308.34,1
71,62,2024-10-01,75.11,21857.01,2024-11-14,21857.01,1
72,63,2024-09-20,61.63,4745.51,2024-11-06,4745.51,1
73,64,2024-06-29,152.79,29182.89,2024-07-17,29182.89,1
74,65,2024-07-31,67.2,17673.6,2024-08-29,17673.6,1
75,66,2024-03-24,384.61,166151.52,2024-05-02,166151.52,1
76,67,2025-05-06,686.0,25382.0,2025-06-13,25382.0,1
77,68,2025-11-26,149.89,59806.11,2025-12-13,59806.11,1
78,69,2025-07-06,309.6,25696.8,2025-08-02,25696.8,1
79,70,2024-12-07,586.75,260517.0,2025-01-05,260517.0,1
80,71,2024-12-09,64.78,2591.2,2025-02-05,2591.2,1
81,72,2024-09-13,28.2,9898.2,2024-09-30,9898.2,1
82,73,2024-06-16,789.36,344950.32,2024-07-18,344950.32,1
83,74,2025-05-20,868.62,184581.75,2025-07-19,184581.75,1
84,74,2025-06-04,868.62,184581.75,2025-07-13,184581.75,2
85,75,2025-03-24,61.62,30378.66,2025-05-25,30378.66,1
86,76,2024-01-29,6.03,2291.4,2024-03-21,2291.4,1
87,77,2024-12-30,467.14,226562.9,2025-03-01,226562.9,1
88,78,2024-09-08,134.75,40694.5,2024-10-22,40694.5,1
89,79,2024-06-16,299.6,121038.4,2024-07-12,121038.4,1
90,80,2025-07-04,318.15,148257.9,2025-07-31,148257.9,1
91,81,2025-02-26,25.08,6219.84,2025-04-20,6219.84,1
92,82,2025-05-14,301.41,12960.63,2025-07-06,12960.63,1
93,83,2025-07-30,24.36,10571.4,2025-08-25,10571.4,1
94,84,2026-01-05,5.94,219.78,2026-03-12,219.78,1
95,85,2025-10-01,6.64,2397.04,2025-11-22,2397.04,1
96,86,2025-06-07,32.97,1285.83,2025-08-04,1285.83,1
97,87,2025-11-14,40.2,10009.8,2025-12-26,10009.8,1
98,87,2025-11-23,40.2,10009.8,2026-01-07,10009.8,2
99,88,2025-01-25,17.77,7463.4,2025-02-04,7463.4,1
100,89,2026-02-05,751.86,222550.56,2026-03-30,222550.56,1
101,90,2025-09-01,35.8,14355.8,2025-10-17,14355.8,1
102,91,2025-05-18,138.6,9909.9,2025-07-01,9909.9,1
103,91,2025-06-01,138.6,9909.9,2025-07-23,9909.9,2
104,92,2025-11-16,339.25,32693.4,2025-12-24,32693.4,1
105,92,2025-12-08,339.25,32693.4,2026-01-25,32693.4,2
106,93,2025-03-04,147.16,70636.8,2025-04-01,70636.8,1
107,94,2025-07-03,33.78,6147.96,2025-07-04,6147.96,1
108,94,2025-07-14,33.78,6147.96,2025-08-16,6147.96,2
109,95,2024-09-02,86.39,3455.6,2024-09-28,3455.6,1
110,95,2024-09-18,86.39,3455.6,2024-10-18,3455.6,2
111,96,2026-01-23,243.27,125081.16,2026-03-13,125081.16,1
112,97,2025-05-14,468.53,92300.41,2025-06-15,92300.41,1
113,98,2025-09-06,81.04,36549.04,2025-09-24,36549.04,1
114,99,2025-01-12,37.67,16650.14,2025-02-12,16650.14,1
115,100,2025-10-29,909.11,115456.97,2025-12-14,115456.97,1
116,100,2025-11-21,909.11,115456.97,2025-12-15,115456.97,2
117,101,2024-04-18,138.32,49795.2,2024-05-26,49795.2,1
118,102,2024-05-14,19.27,712.99,2024-07-25,712.99,1
119,103,2025-03-07,67.56,4594.08,2025-04-08,4594.08,1
120,104,2025-07-21,67.27,672.7,2025-10-08,672.7,1
121,104,2025-08-05,67.27,672.7,2025-10-03,672.7,2
122,105,2025-09-08,62.94,17557.54,2025-10-03,17557.54,1
123,106,2024-12-06,87.44,42058.64,2024-12-29,42058.64,1
124,107,2025-05-27,61.53,16797.69,2025-06-21,16797.69,1
125,108,2025-03-14,12.24,5862.96,2025-04-27,5862.96,1
126,109,2025-12-27,1323.9,268089.75,2026-02-20,268089.75,1
127,109,2026-01-04,1323.9,268089.75,2026-03-26,268089.75,2
128,110,2025-06-19,129.55,17100.6,2025-08-04,17100.6,1
129,111,2024-11-21,301.1,93642.1,2024-12-19,93642.1,1
130,112,2025-12-25,415.87,135157.75,2026-01-19,135157.75,1
131,113,2024-04-10,24.76,1559.88,2024-05-22,1559.88,1
132,113,2024-04-30,24.76,1559.88,2024-06-11,1559.88,2
133,114,2026-01-23,81.05,27719.1,2026-02-04,27719.1,1
134,115,2024-05-24,1497.82,363970.26,2024-06-26,363970.26,1
135,116,2024-08-18,158.46,2693.82,2024-09-21,2693.82,1
136,117,2025-09-30,65.03,5657.61,2025-10-31,5657.61,1
137,118,2025-07-07,152.96,70820.48,2025-08-14,70820.48,1
138,119,2026-01-18,306.25,55737.5,2026-02-09,55737.5,1
139,120,2025-08-07,42.26,4564.08,2025-09-15,4564.08,1
140,121,2025-05-16,143.33,47155.57,2025-06-20,47155.57,1
141,122,2024-10-17,193.92,5138.88,2024-11-06,5138.88,1
142,122,2024-10-31,193.92,5138.88,2024-12-13,5138.88,2
143,123,2024-02-18,259.34,87397.58,2024-04-14,87397.58,1
144,124,2024-04-28,16.19,1295.2,2024-06-22,1295.2,1
145,125,2024-08-20,26.65,4850.3,2024-10-06,4850.3,1
146,126,2024-02-24,341.82,48538.44,2024-03-29,48538.44,1
147,127,2025-02-21,339.86,155316.02,2025-04-30,155316.02,1
148,128,2025-08-22,142.23,66279.18,2025-09-20,66279.18,1
149,129,2026-01-11,107.88,19094.76,2026-02-09,19094.76,1
150,130,2025-02-06,66.74,27897.32,2025-02-22,27897.32,1
151,131,2025-10-19,25.94,1660.16,2025-11-28,1660.16,1
152,131,2025-11-11,25.94,1660.16,2025-12-30,1660.16,2
153,132,2026-02-15,125.68,26015.76,2026-04-07,26015.76,1
154,132,2026-02-26,125.68,26015.76,2026-04-12,26015.76,2
155,133,2025-11-09,5.62,2478.42,2025-12-23,2478.42,1
156,134,2025-02-05,395.81,8312.01,2025-04-04,8312.01,1
157,134,2025-02-15,395.81,8312.01,2025-04-27,8312.01,2
158,135,2024-10-02,341.06,14324.52,2024-11-09,14324.52,1
159,136,2026-01-11,5.58,1523.34,2026-03-21,1523.34,1
160,137,2024-08-07,152.17,69541.69,2024-09-08,69541.69,1
161,138,2024-11-20,54.13,24250.24,2025-01-16,24250.24,1
162,139,2024-03-23,178.04,55192.4,2024-05-15,55192.4,1
163,140,2025-09-13,247.11,29432.04,2025-11-06,29432.04,1
164,141,2025-05-24,49.43,2076.06,2025-06-19,2076.06,1
165,142,2024-03-28,5.69,1678.55,2024-05-17,1678.55,1
166,143,2024-08-08,720.71,67026.03,2024-09-18,67026.03,1
167,144,2025-03-14,305.41,11910.99,2025-04-18,11910.99,1
168,145,2025-04-02,337.97,93279.72,2025-04-23,93279.72,1
169,146,2025-09-20,582.74,157922.54,2025-10-12,157922.54,1
170,147,2024-07-27,245.33,55013.02,2024-10-02,55013.02,1
171,148,2025-12-13,37.66,15139.32,2026-01-15,15139.32,1
172,149,2025-01-16,10.47,5036.07,2025-03-09,5036.07,1
173,150,2025-10-02,22.49,6342.18,2025-11-25,6342.18,1
174,151,2024-08-13,41.31,8716.41,2024-09-03,8716.41,1
175,152,2024-03-05,84.76,7458.88,2024-03-18,7458.88,1
176,153,2024-03-19,84.38,8944.28,2024-05-04,8944.28,1
177,154,2024-11-21,43.64,4276.72,2025-01-15,4276.72,1
178,155,2025-12-15,326.43,25624.76,2026-02-20,25624.76,1
179,155,2025-12-31,326.43,25624.76,2026-03-14,25624.76,2
180,156,2024-03-05,6.42,1553.64,2024-04-23,1553.64,1
181,156,2024-03-08,6.42,1553.64,2024-05-07,1553.64,1
182,157,2024-10-07,270.88,128126.24,2024-10-22,128126.24,1
183,158,2024-05-03,70.02,30948.84,2024-06-24,30948.84,1
184,159,2026-01-01,971.59,278846.33,2026-01-31,278846.33,1
185,160,2025-06-30,31.6,5182.4,2025-08-03,5182.4,1
186,161,2025-07-20,6.04,1026.8,2025-09-03,1026.8,1
187,161,2025-08-07,6.04,1026.8,2025-10-14,1026.8,2
188,162,2025-07-07,54.28,21766.28,2025-08-22,21766.28,1
189,163,2025-06-13,6.4,1171.2,2025-08-02,1171.2,1
190,164,2025-08-25,96.81,23524.83,2025-10-06,23524.83,1
191,165,2024-02-11,33.8,3920.8,2024-03-12,3920.8,1
192,166,2025-10-28,12.48,5840.64,2025-12-21,5840.64,1
193,167,2025-07-17,134.98,50212.56,2025-08-18,50212.56,1
194,168,2025-07-25,82.65,35208.9,2025-08-31,35208.9,1
195,169,2024-12-09,328.79,2363.69,2025-01-22,2363.69,1
196,169,2024-12-23,328.79,2363.69,2025-02-26,2363.69,2
197,170,2025-09-14,792.42,102222.18,2025-11-11,102222.18,1
198,171,2024-11-09,43.38,1388.16,2024-12-14,1388.16,1
199,172,2024-02-14,1173.4,285136.2,2024-02-28,285136.2,1
200,173,2025-11-27,22.21,10261.02,2025-12-26,10261.02,1
201,174,2024-08-09,52.98,25324.44,2024-09-08,25324.44,1
202,175,2024-04-14,31.56,3692.52,2024-05-28,3692.52,1
203,176,2025-05-06,177.5,36742.5,2025-06-07,36742.5,1
204,176,2025-05-20,177.5,36742.5,2025-06-22,36742.5,2
205,177,2024-07-21,308.39,43791.38,2024-09-11,43791.38,1
206,178,2025-10-20,138.9,38336.4,2025-12-25,38336.4,1
207,179,2025-01-03,752.54,92562.42,2025-02-01,92562.42,1
208,180,2024-02-12,21.96,3184.2,2024-03-16,3184.2,1
209,181,2025-12-18,26.02,12229.4,2026-02-07,12229.4,1
210,182,2025-02-28,122.41,59980.9,2025-05-09,59980.9,1
211,183,2024-09-03,140.32,29888.16,2024-10-15,29888.16,1
212,184,2025-07-07,6.16,733.04,2025-08-07,733.04,1
213,185,2025-02-28,136.04,8978.64,2025-04-27,8978.64,1
214,185,2025-03-12,136.04,8978.64,2025-04-22,8978.64,2
215,186,2024-03-01,5.85,1205.1,2024-05-07,1205.1,1
216,187,2025-07-25,155.81,25552.84,2025-08-17,25552.84,1
217,188,2024-11-11,36.91,775.11,2024-12-11,775.11,1
218,189,2025-06-20,55.31,24447.02,2025-07-24,24447.02,1
219,190,2025-12-03,707.3,37486.9,2025-12-30,37486.9,1
220,191,2025-04-17,55.87,3910.9,2025-06-21,3910.9,1
221,192,2025-06-17,89.12,8689.2,2025-07-22,8689.2,1
222,192,2025-07-03,89.12,8689.2,2025-07-31,8689.2,2
223,193,2024-08-19,63.74,12875.48,2024-09-27,12875.48,1
224,194,2024-07-16,259.94,88379.6,2024-09-15,88379.6,1
225,195,2024-12-15,41.61,1081.86,2025-01-08,1081.86,1
226,196,2025-10-15,5.31,366.39,2025-12-16,366.39,1
227,197,2025-03-15,78.83,16633.13,2025-04-14,16633.13,1
228,198,2024-10-19,74.28,8245.08,2024-12-20,8245.08,1
229,199,2025-08-22,157.49,58428.79,2025-09-21,58428.79,1
230,200,2025-09-26,229.81,113296.33,2025-10-09,113296.33,1
231,201,2025-11-27,5.77,2157.98,2026-02-07,2157.98,1
232,202,2024-10-02,15.82,7356.3,2024-12-09,7356.3,1
233,203,2025-07-17,67.02,7104.12,2025-08-31,7104.12,1
234,204,2025-04-14,140.72,64309.04,2025-05-10,64309.04,1
235,205,2025-01-07,31.98,2078.7,2025-01-25,2078.7,1
236,206,2024-11-03,149.46,21746.43,2024-11-21,21746.43,1
237,206,2024-11-13,149.46,21746.43,2024-12-01,21746.43,2
238,207,2024-04-12,80.69,11135.22,2024-05-16,11135.22,1
239,208,2024-08-31,27.74,4951.59,2024-10-30,4951.59,1
240,208,2024-09-13,27.74,4951.59,2024-11-15,4951.59,2
241,209,2025-03-05,941.05,351952.7,2025-04-17,351952.7,1
242,210,2025-11-10,333.39,84347.67,2025-12-06,84347.67,1
243,211,2025-10-29,131.59,52241.23,2025-12-12,52241.23,1
244,212,2024-06-27,17.91,608.94,2024-08-05,608.94,1
245,213,2025-06-20,97.42,36824.76,2025-07-24,36824.76,1
246,214,2024-03-31,54.73,19443.75,2024-05-05,19443.75,1
247,215,2025-05-22,12.23,2103.56,2025-06-12,2103.56,1
248,216,2024-10-24,310.76,119021.08,2024-12-02,119021.08,1
249,217,2025-02-02,25.79,3378.49,2025-03-12,3378.49,1
250,218,2025-07-28,38.18,7120.57,2025-09-14,7120.57,1
251,218,2025-08-06,38.18,7120.57,2025-09-06,7120.57,2
252,219,2024-12-25,16.19,1279.01,2025-01-22,1279.01,1
253,220,2025-10-08,26.34,5136.3,2025-11-21,5136.3,1
254,221,2025-03-03,5.65,234.48,2025-03-21,234.48,1
255,221,2025-03-17,5.65,234.48,2025-04-21,234.48,2
256,222,2026-02-03,67.47,19701.24,2026-03-05,19701.24,1
257,223,2025-05-21,373.06,85430.74,2025-06-16,85430.74,1
258,224,2024-09-20,63.26,21698.18,2024-09-29,21698.18,1
259,225,2025-09-08,349.02,7678.44,2025-10-09,7678.44,1
260,226,2024-12-01,38.08,3198.72,2024-12-31,3198.72,1
261,227,2025-03-10,73.72,5676.44,2025-04-20,5676.44,1
262,228,2024-06-02,151.12,31735.2,2024-07-13,31735.2,1
263,229,2024-04-10,321.18,86718.6,2024-05-13,86718.6,1
264,230,2025-04-21,280.41,2103.07,2025-05-07,2103.07,1
265,230,2025-05-12,280.41,2103.07,2025-06-03,2103.07,2
266,231,2024-07-06,22.59,3117.8,2024-09-17,3117.8,1
267,232,2026-02-11,789.15,324340.65,2026-03-24,324340.65,1
268,233,2025-10-21,48.03,19260.03,2025-12-11,19260.03,1
269,234,2025-07-15,315.71,63457.71,2025-09-18,63457.71,1
270,235,2025-08-02,517.9,81051.35,2025-10-14,81051.35,1
271,235,2025-08-17,517.9,81051.35,2025-10-01,81051.35,2
272,236,2025-04-09,313.78,150614.4,2025-05-11,150614.4,1
273,237,2024-04-06,140.14,45685.64,2024-04-07,45685.64,1
274,237,2024-04-07,140.14,45685.64,2024-05-07,45685.64,1
275,238,2024-10-26,391.29,75910.26,2024-11-25,75910.26,1
276,239,2025-01-14,14.17,1246.96,2025-03-04,1246.96,1
277,240,2025-12-15,121.96,20977.12,2026-01-04,20977.12,1
278,241,2024-07-21,76.3,10987.2,2024-09-12,10987.2,1
279,242,2025-02-17,18.82,1336.22,2025-03-15,1336.22,1
280,243,2024-09-28,251.84,91417.92,2024-10-02,91417.92,1
281,244,2024-05-21,12.49,349.72,2024-05-23,349.72,1
282,245,2024-04-08,171.36,3512.88,2024-05-23,3512.88,1
283,245,2024-04-25,171.36,3512.88,2024-06-29,3512.88,2
284,246,2024-11-14,28.15,2308.3,2024-12-30,2308.3,1
285,247,2024-04-14,405.48,74202.84,2024-05-07,74202.84,1
286,248,2024-03-09,48.63,2139.72,2024-04-23,2139.72,1
287,249,2024-10-19,17.14,8415.74,2024-12-13,8415.74,1
288,250,2024-07-01,310.08,12713.28,2024-07-31,12713.28,1
289,251,2025-03-28,122.59,37512.54,2025-05-22,37512.54,1
290,252,2024-03-06,641.95,315839.4,2024-04-26,315839.4,1
291,253,2024-09-17,215.15,2581.8,2024-11-02,2581.8,1
292,254,2025-01-12,294.18,60895.26,2025-02-05,60895.26,1
293,254,2025-01-25,294.18,60895.26,2025-03-21,60895.26,2
294,255,2026-01-09,64.42,5218.02,2026-01-31,5218.02,1
295,256,2025-04-27,46.51,14278.57,2025-06-21,14278.57,1
296,257,2025-11-15,69.24,13848.0,2025-12-29,13848.0,1
297,258,2024-10-19,31.34,14604.44,2024-12-10,14604.44,1
298,259,2025-01-16,73.21,24012.88,2025-03-11,24012.88,1
299,260,2024-12-07,128.95,14571.35,2025-01-02,14571.35,1
300,261,2025-12-09,131.57,52233.29,2026-01-18,52233.29,1
301,262,2026-01-09,49.75,9104.25,2026-02-12,9104.25,1
302,263,2026-01-07,121.95,17523.67,2026-02-04,17523.67,1
303,263,2026-01-18,121.95,17523.67,2026-02-09,17523.67,2
304,264,2025-08-04,113.57,44973.72,2025-09-06,44973.72,1
305,265,2025-01-26,335.9,82631.4,2025-03-28,82631.4,1
306,266,2025-02-23,678.19,39335.02,2025-04-22,39335.02,1
307,267,2026-01-26,169.01,10816.64,2026-02-19,10816.64,1
308,267,2026-02-12,169.01,10816.64,2026-03-16,10816.64,2
309,268,2024-09-12,63.65,22850.35,2024-10-12,22850.35,1
310,269,2024-10-19,44.84,4013.18,2024-11-20,4013.18,1
311,269,2024-11-02,44.84,4013.18,2024-11-18,4013.18,2
312,270,2025-12-07,875.23,227559.8,2026-01-16,227559.8,1
313,271,2024-10-20,15.29,2217.05,2024-11-15,2217.05,1
314,272,2024-07-20,6.23,193.13,2024-09-10,193.13,1
315,273,2025-03-14,62.03,7536.64,2025-04-09,7536.64,1
316,273,2025-03-31,62.03,7536.64,2025-04-30,7536.64,2
317,274,2024-10-09,67.77,6031.53,2024-11-06,6031.53,1
318,274,2024-10-27,67.77,6031.53,2024-11-30,6031.53,2
319,275,2025-11-04,12.75,4131.0,2025-12-01,4131.0,1
320,276,2025-11-19,58.85,12593.9,2025-12-16,12593.9,1
321,277,2024-09-15,327.97,8527.22,2024-11-14,8527.22,1
322,278,2025-03-05,127.76,3066.24,2025-04-25,3066.24,1
323,279,2026-01-27,55.98,10188.36,2026-03-04,10188.36,1
324,280,2025-07-07,155.09,37454.24,2025-08-15,37454.24,1
325,280,2025-07-24,155.09,37454.24,2025-08-23,37454.24,2
326,281,2024-07-10,12.18,267.96,2024-08-03,267.96,1
327,282,2025-05-05,51.69,2636.19,2025-06-18,2636.19,1
328,283,2025-05-14,1233.07,373620.21,2025-07-21,373620.21,1
329,284,2025-06-01,351.36,138787.2,2025-07-15,138787.2,1
330,285,2024-03-18,146.29,8631.11,2024-04-28,8631.11,1
331,286,2024-09-29,11.19,3983.64,2024-10-31,3983.64,1
332,287,2025-10-29,367.84,9959.67,2025-12-23,9959.67,1
333,287,2025-11-15,367.84,9959.67,2026-01-17,9959.67,2
334,288,2024-08-02,110.04,7922.88,2024-09-10,7922.88,1
335,288,2024-08-15,110.04,7922.88,2024-09-14,7922.88,2
336,289,2024-09-07,152.13,40618.71,2024-10-24,40618.71,1
337,290,2024-09-10,45.7,8523.05,2024-10-02,8523.05,1
338,290,2024-09-28,45.7,8523.05,2024-10-28,8523.05,2
339,291,2024-06-16,216.57,50027.67,2024-07-09,50027.67,1
340,292,2024-06-21,12.73,2176.83,2024-07-29,2176.83,1
341,293,2024-10-12,318.13,54400.23,2024-11-25,54400.23,1
342,294,2025-11-05,136.41,39013.26,2025-12-07,39013.26,1
343,295,2024-02-06,13.41,1984.68,2024-03-12,1984.68,1
344,295,2024-02-17,13.41,1984.68,2024-04-10,1984.68,2
345,296,2024-09-05,26.32,4500.72,2024-10-26,4500.72,1
346,297,2024-04-03,795.53,21479.31,2024-05-22,21479.31,1
347,298,2025-04-11,10.97,2380.49,2025-05-16,2380.49,1
348,299,2024-08-09,336.62,160567.74,2024-10-25,160567.74,1
349,300,2025-09-03,210.62,55393.06,2025-09-24,55393.06,1
350,301,2025-04-19,5.74,1526.84,2025-06-18,1526.84,1
351,302,2025-08-30,150.27,36590.75,2025-09-29,36590.75,1
352,302,2025-09-06,150.27,36590.75,2025-09-10,36590.75,2
353,303,2025-04-27,383.64,132193.4,2025-05-28,132193.4,1
354,304,2024-12-11,272.62,73062.16,2025-01-15,73062.16,1
355,305,2025-11-01,23.68,10134.72,2026-01-04,10134.72,1
356,306,2025-01-08,21.84,8648.64,2025-04-16,8648.64,1
357,307,2026-01-08,1181.71,184346.76,2026-02-18,184346.76,1
358,308,2026-01-28,24.45,1002.45,2026-02-03,1002.45,1
359,309,2025-04-08,28.35,5868.45,2025-05-12,5868.45,1
360,310,2025-06-28,121.32,42340.68,2025-09-20,42340.68,1
361,311,2024-08-29,279.39,63980.31,2024-10-08,63980.31,1
362,312,2025-09-25,1473.66,334520.82,2025-10-14,334520.82,1
363,313,2025-06-29,286.36,29208.72,2025-08-19,29208.72,1
364,314,2025-11-12,353.25,3532.5,2025-12-30,3532.5,1
365,314,2025-11-28,353.25,3532.5,2026-02-05,3532.5,2
366,315,2024-08-21,25.67,718.76,2024-10-05,718.76,1
367,316,2025-08-17,747.19,369859.05,2025-09-26,369859.05,1
368,317,2025-01-07,24.96,1198.08,2025-01-31,1198.08,1
369,318,2024-07-01,121.08,18283.08,2024-07-31,18283.08,1
370,319,2024-05-28,269.71,42344.47,2024-06-26,42344.47,1
371,320,2025-03-26,12.25,4875.5,2025-05-25,4875.5,1
372,321,2024-10-09,52.37,21733.55,2024-11-20,21733.55,1
373,322,2024-04-18,43.7,9876.2,2024-05-18,9876.2,1
374,323,2024-12-30,941.01,100688.07,2025-01-14,100688.07,1
375,324,2025-06-04,40.81,10365.74,2025-07-18,10365.74,1
376,325,2024-10-10,160.16,30430.4,2024-11-30,30430.4,1
377,326,2026-01-12,335.12,58981.12,2026-03-23,58981.12,1
378,327,2025-08-31,64.07,640.7,2025-11-05,640.7,1
379,328,2025-02-13,80.72,8879.2,2025-04-06,8879.2,1
380,328,2025-03-01,80.72,8879.2,2025-05-11,8879.2,2
381,329,2025-12-21,6.8,2420.8,2026-02-22,2420.8,1
382,330,2024-12-28,323.76,123028.8,2025-03-14,123028.8,1
383,331,2024-05-26,294.94,113551.9,2024-08-06,113551.9,1
384,332,2024-03-03,5.27,1032.92,2024-04-23,1032.92,1
385,333,2025-12-13,406.49,79265.55,2026-01-14,79265.55,1
386,334,2025-12-26,137.78,33342.76,2026-01-15,33342.76,1
387,335,2025-07-30,243.77,87359.06,2025-08-25,87359.06,1
388,336,2024-04-26,6.61,912.18,2024-07-09,912.18,1
389,336,2024-05-10,6.61,912.18,2024-08-01,912.18,2
390,337,2024-09-02,311.4,67262.4,2024-11-05,67262.4,1
391,338,2024-03-18,6.67,2888.11,2024-05-19,2888.11,1
392,339,2024-03-12,90.81,13893.93,2024-04-20,13893.93,1
393,340,2024-07-26,155.86,49095.9,2024-08-30,49095.9,1
394,341,2025-04-25,41.26,4126.0,2025-06-23,4126.0,1
395,342,2024-03-09,32.76,8058.96,2024-04-06,8058.96,1
396,343,2026-02-21,33.36,2602.08,2026-05-02,2602.08,1
397,344,2025-01-16,58.21,2270.19,2025-02-21,2270.19,1
398,344,2025-01-31,58.21,2270.19,2025-02-24,2270.19,2
399,345,2024-08-20,693.18,219044.88,2024-09-24,219044.88,1
400,346,2025-03-12,81.51,36679.5,2025-04-20,36679.5,1
401,347,2025-08-30,163.83,25065.99,2025-10-20,25065.99,1
402,348,2024-09-18,6.52,899.76,2024-11-12,899.76,1
403,349,2024-04-03,11.72,1898.64,2024-05-20,1898.64,1
404,350,2024-03-05,10.47,1334.92,2024-04-24,1334.92,1
405,350,2024-03-17,10.47,1334.92,2024-04-12,1334.92,2
406,351,2025-10-07,291.42,23313.6,2025-12-06,23313.6,1
407,352,2024-04-13,441.96,116235.48,2024-04-29,116235.48,1
408,353,2025-05-26,76.46,14450.94,2025-06-11,14450.94,1
409,354,2024-11-14,6.63,861.9,2024-12-22,861.9,1
410,355,2025-08-27,6.12,869.04,2025-10-02,869.04,1
